embedder_type,window_sec,hop_sec,perch_padding,umap_dims,mcs,eps,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,ari,homog,mean_total_score
perch,3.0,1.5,repeat,10,50,0.0,22,10.6,0.4231,357,51,1459,10.6,0.8,0.8377,0.7348,0.6514,0.7308,0.738675
perch,3.0,1.5,repeat,2,50,0.0,24,12.3,0.2986,306,51,1154,25.2,0.7,0.814,0.7277,0.651,0.7428,0.733875
perch,2.0,1.0,repeat,10,50,0.0,23,18.0,0.2925,429,63,2185,16.5,5.8,0.7896,0.7365,0.6665,0.7385,0.7327750000000001
perch,3.0,1.5,repeat,30,100,0.0,15,12.7,0.4102,662,151,1525,11.9,1.0,0.8171,0.7382,0.6587,0.7169,0.732725
perch,3.0,1.5,repeat,20,50,0.0,20,10.9,0.4366,379,56,1503,11.0,1.0,0.8263,0.7333,0.6447,0.7238,0.7320249999999999
perch,3.0,1.5,repeat,30,50,0.0,20,11.2,0.4963,381,56,1513,11.9,1.0,0.8265,0.7325,0.6419,0.723,0.730975
perch,3.0,1.5,repeat,5,50,0.0,21,13.0,0.5673,375,57,1467,9.7,0.8,0.812,0.7326,0.6454,0.727,0.72925
perch,2.0,0.5,repeat,5,200,0.0,17,18.4,0.5143,1506,274,4381,31.6,8.8,0.7914,0.737,0.6666,0.72,0.72875
perch,2.0,0.5,repeat,2,100,0.0,24,11.9,0.408,928,147,3087,43.0,5.2,0.8266,0.7122,0.6507,0.7248,0.7285750000000001
perch,3.0,2.0,repeat,2,100,0.0,14,10.8,0.3458,494,164,1153,29.9,0.7,0.8387,0.7274,0.6474,0.699,0.7281249999999999
perch,3.0,1.5,repeat,15,100,0.0,15,15.6,0.3869,632,140,1510,10.9,1.0,0.7846,0.7435,0.6607,0.7226,0.72785
perch,3.0,1.0,zero,30,100,0.0,17,12.2,0.392,829,105,2448,18.8,5.9,0.8272,0.7354,0.6286,0.7201,0.727825
perch,3.0,1.0,zero,20,100,0.0,17,12.8,0.3089,834,104,2444,16.4,5.8,0.8229,0.7357,0.6306,0.7206,0.72745
perch,3.0,1.0,zero,10,100,0.0,17,12.2,0.4839,808,105,2446,15.6,5.6,0.8263,0.7344,0.6282,0.7179,0.7267000000000001
