umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,26,16.2,0.474,218,58,3445,16.3,0.2
2,100,13,11.6,0.5998,413,156,3708,16.0,0.2
2,200,11,16.6,0.0813,1028,243,3629,8.4,0.5
5,50,28,22.1,0.18,161,60,3447,8.9,0.2
5,100,16,15.8,0.5243,383,151,3642,8.5,0.3
5,200,11,21.7,0.1137,910,240,3600,8.5,0.4
10,50,27,21.2,0.1534,169,60,3470,8.9,0.3
10,100,10,9.0,0.1378,907,168,3743,8.9,0.3
10,200,9,13.6,0.2947,1066,240,3750,9.1,0.5
15,50,16,13.6,0.3609,234,59,3717,9.7,0.3
15,100,10,12.7,0.397,1189,239,3590,9.5,0.4
15,200,11,20.2,0.0994,947,237,3614,9.3,0.6
20,50,26,20.5,0.2427,178,55,3524,9.9,0.3
20,100,15,13.7,0.1864,599,146,2115,10.0,0.5
20,200,9,14.1,0.1214,1024,239,3689,9.7,0.6
30,50,25,21.1,0.2333,198,58,3425,10.8,0.4
30,100,17,19.8,0.2581,432,145,2032,10.9,0.5
30,200,9,16.4,0.082,993,239,3672,10.9,0.7
