umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,9,1.5,0.0792,314,61,8662,16.4,0.2
2,100,10,8.4,0.5239,525,156,3708,16.3,0.2
2,200,11,16.6,0.0813,1028,243,3629,8.5,0.5
5,50,12,9.3,0.1215,815,60,3447,8.9,0.2
5,100,15,15.0,0.5132,578,151,3642,8.8,0.3
5,200,11,21.7,0.1137,910,240,3600,8.8,0.4
10,50,12,9.2,0.0947,824,60,3470,9.2,0.3
10,100,10,9.0,0.1378,907,168,3743,9.3,0.3
10,200,9,13.6,0.2947,1066,240,3750,9.2,0.4
15,50,11,7.6,0.3505,713,59,3717,9.6,0.3
15,100,10,12.7,0.397,1189,239,3590,9.7,0.4
15,200,11,20.2,0.0994,947,237,3614,9.3,0.6
20,50,13,9.8,0.1019,613,60,3524,9.7,0.4
20,100,15,13.7,0.1864,599,146,2115,9.6,0.4
20,200,9,14.1,0.1214,1024,239,3689,9.9,0.6
30,50,13,10.3,0.2258,985,58,3425,11.1,0.5
30,100,16,19.2,0.2476,582,145,2032,10.9,0.5
30,200,9,16.4,0.082,993,239,3672,10.9,0.7
