Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	0.000000	0.750000	0	0	noise	cluster_noise	0.0000
2	Spectrogram 1	1	0.500000	55.750000	0	0	6	cluster_6	0.9546
3	Spectrogram 1	1	55.500000	56.000000	0	0	noise	cluster_noise	0.0000
4	Spectrogram 1	1	55.750000	61.250000	0	0	6	cluster_6	0.9465
5	Spectrogram 1	1	61.000000	61.500000	0	0	noise	cluster_noise	0.0000
6	Spectrogram 1	1	61.250000	72.750000	0	0	6	cluster_6	0.9455
7	Spectrogram 1	1	72.500000	73.000000	0	0	noise	cluster_noise	0.0000
8	Spectrogram 1	1	72.750000	98.750000	0	0	6	cluster_6	0.9908
9	Spectrogram 1	1	98.500000	99.000000	0	0	noise	cluster_noise	0.0000
10	Spectrogram 1	1	98.750000	99.500000	0	0	6	cluster_6	1.0000
11	Spectrogram 1	1	99.250000	99.750000	0	0	noise	cluster_noise	0.0000
12	Spectrogram 1	1	99.500000	113.000000	0	0	6	cluster_6	0.9961
13	Spectrogram 1	1	112.750000	113.250000	0	0	5	cluster_5	0.5719
14	Spectrogram 1	1	113.000000	137.000000	0	0	6	cluster_6	0.9937
15	Spectrogram 1	1	136.750000	137.500000	0	0	5	cluster_5	0.6587
16	Spectrogram 1	1	137.250000	232.250000	0	0	6	cluster_6	0.9916
17	Spectrogram 1	1	232.000000	232.500000	0	0	5	cluster_5	0.5966
18	Spectrogram 1	1	232.250000	263.250000	0	0	6	cluster_6	0.9955
19	Spectrogram 1	1	263.000000	263.750000	0	0	noise	cluster_noise	0.0000
20	Spectrogram 1	1	263.500000	265.500000	0	0	5	cluster_5	0.6143
21	Spectrogram 1	1	265.250000	265.750000	0	0	noise	cluster_noise	0.0000
22	Spectrogram 1	1	265.500000	266.000000	0	0	6	cluster_6	1.0000
23	Spectrogram 1	1	265.750000	267.000000	0	0	10	cluster_10	0.9825
24	Spectrogram 1	1	266.750000	268.750000	0	0	6	cluster_6	1.0000
25	Spectrogram 1	1	268.500000	269.000000	0	0	5	cluster_5	0.6970
26	Spectrogram 1	1	268.750000	270.750000	0	0	9	cluster_9	0.7600
27	Spectrogram 1	1	270.500000	271.500000	0	0	6	cluster_6	1.0000
28	Spectrogram 1	1	271.250000	271.750000	0	0	5	cluster_5	1.0000
29	Spectrogram 1	1	271.500000	273.750000	0	0	9	cluster_9	0.7637
30	Spectrogram 1	1	273.500000	274.500000	0	0	6	cluster_6	0.9329
31	Spectrogram 1	1	274.250000	274.750000	0	0	9	cluster_9	0.5626
32	Spectrogram 1	1	274.500000	275.000000	0	0	6	cluster_6	1.0000
33	Spectrogram 1	1	274.750000	278.000000	0	0	5	cluster_5	0.7673
34	Spectrogram 1	1	277.750000	278.500000	0	0	6	cluster_6	1.0000
35	Spectrogram 1	1	278.250000	279.750000	0	0	10	cluster_10	0.9605
36	Spectrogram 1	1	279.500000	280.250000	0	0	6	cluster_6	1.0000
37	Spectrogram 1	1	280.000000	280.500000	0	0	10	cluster_10	0.8233
38	Spectrogram 1	1	280.250000	281.500000	0	0	6	cluster_6	1.0000
39	Spectrogram 1	1	281.250000	281.750000	0	0	5	cluster_5	0.8550
