umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,30,11.7,0.1791,493,67,25889,53.9,1.9
2,100,22,13.5,0.1887,924,139,25278,53.5,2.2
2,200,17,12.8,0.1708,981,216,24558,45.5,1.3
5,50,35,23.1,0.1214,249,60,26233,47.8,1.3
5,100,20,12.8,0.088,661,158,26452,47.2,1.3
5,200,17,20.9,0.4923,913,237,29395,47.0,1.9
10,50,29,20.5,0.1393,542,58,26534,50.5,1.4
10,100,18,13.8,0.0945,920,158,26034,50.0,1.7
10,200,7,4.6,0.4986,1738,237,30077,50.5,2.1
15,50,2,0.0,0.5699,33263,240,66287,52.8,1.7
15,100,22,23.2,0.1375,917,160,25855,54.2,1.8
15,200,18,23.5,0.1357,942,236,25511,54.0,2.5
20,50,41,24.7,0.479,170,53,26461,59.5,1.8
20,100,22,23.4,0.1092,863,160,25754,58.5,2.1
20,200,12,14.2,0.1464,1609,238,25803,60.3,2.6
30,50,2,0.0,0.587,33263,239,66288,69.8,2.3
30,100,24,25.8,0.123,724,160,25730,71.4,2.6
30,200,14,15.2,0.0911,927,235,24890,69.3,3.1
