umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,32,10.8,0.4726,241,52,30159,58.2,2.7
2,100,18,6.7,0.464,815,150,30581,58.6,2.8
2,200,13,3.9,0.379,954,215,30561,58.6,3.2
5,50,12,5.4,0.047,756,135,28897,61.3,2.7
5,100,21,20.2,0.239,900,159,26686,51.1,1.4
5,200,18,22.7,0.1837,1106,236,25298,51.8,2.0
10,50,26,12.6,0.3783,258,62,26417,55.0,1.5
10,100,23,23.0,0.1401,877,156,27040,54.0,1.7
10,200,9,9.7,0.2404,1776,236,25326,52.7,2.0
15,50,38,22.5,0.4552,244,50,27032,58.7,1.7
15,100,28,36.6,0.1946,970,161,7370,58.1,1.9
15,200,18,24.3,0.1721,907,234,25453,57.9,2.5
20,50,39,24.2,0.2116,171,54,26446,65.4,1.8
20,100,20,19.7,0.1769,939,157,25734,64.5,2.0
20,200,16,19.5,0.2549,1188,234,25896,64.6,2.5
30,50,20,14.9,0.5975,909,60,27207,77.3,2.4
30,100,14,13.0,0.1645,1550,164,25744,70.2,2.5
30,200,14,20.5,0.0616,1442,236,25571,70.1,3.0
