umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,35,13.6,0.5396,410,58,30048,95.5,11.6,0.5222,0.5013,0.4955
2,100,18,6.7,0.0674,793,142,30030,95.3,12.1,0.5766,0.4571,0.398
2,200,8,2.0,0.3502,2924,235,30317,96.4,11.4,0.6095,0.3995,0.318
5,50,28,15.6,0.0198,255,51,24042,114.0,8.5,0.5472,0.474,0.4195
5,100,20,11.2,0.1056,731,107,27000,85.6,3.6,0.5529,0.4577,0.4029
5,200,18,23.8,0.1665,1136,235,24895,86.7,3.8,0.4776,0.5618,0.5415
10,50,39,22.9,0.5324,236,53,27088,93.6,3.2,0.4674,0.5539,0.5562
10,100,14,16.0,0.2756,1252,155,25820,93.3,3.7,0.5248,0.4539,0.3917
10,200,12,14.8,0.2391,1213,235,29980,92.9,4.3,0.5167,0.4485,0.3791
15,50,27,13.8,0.1104,235,51,26346,100.7,3.4,0.5373,0.4579,0.3987
15,100,14,10.4,0.0702,934,156,25933,101.5,4.0,0.5691,0.4471,0.3777
15,200,13,13.1,0.0835,949,235,25528,108.3,6.9,0.5541,0.4582,0.3876
20,50,27,12.6,0.4042,236,51,27182,118.6,3.9,0.5412,0.4533,0.3944
20,100,23,25.3,0.1335,879,161,25723,115.1,5.0,0.454,0.5599,0.5519
20,200,14,20.1,0.0535,1460,236,25471,117.3,5.7,0.5004,0.5188,0.4699
30,50,27,12.9,0.3918,239,53,26678,138.0,4.1,0.5427,0.4568,0.3981
30,100,10,7.9,0.1713,1221,159,25793,115.1,4.4,0.5863,0.3689,0.2873
30,200,13,16.1,0.4294,1553,235,29522,113.3,4.7,0.5117,0.5053,0.4478
