umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,13,18.5,0.1844,186,79,478,21.1,0.0
2,100,4,2.6,0.1583,415,266,2411,21.1,0.0
2,200,4,7.6,0.0787,372,225,2356,18.2,0.1
5,50,6,0.5,0.6476,230,95,2414,18.2,0.0
5,100,4,0.0,0.6078,457,271,2414,18.4,0.1
5,200,5,3.5,0.4342,472,271,1342,18.4,0.1
10,50,4,0.0,0.6549,460,267,2413,18.6,0.0
10,100,5,0.5,0.1584,475,267,1402,18.6,0.1
10,200,4,2.3,0.3807,418,267,2413,18.4,0.1
15,50,5,0.9,0.6092,315,94,2413,18.7,0.0
15,100,4,2.8,0.5223,409,268,2413,18.6,0.1
15,200,4,4.9,0.3541,374,261,2413,18.8,0.1
20,50,5,0.4,0.6188,337,95,2413,18.7,0.1
20,100,4,0.7,0.5619,447,267,2413,18.8,0.1
20,200,5,2.6,0.4825,475,267,1309,18.6,0.1
30,50,5,0.5,0.6054,331,95,2413,19.4,0.1
30,100,4,0.0,0.5981,459,269,2413,19.3,0.1
30,200,4,2.6,0.4295,412,269,2413,19.3,0.1
