umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,24,14.4,0.526,324,59,5181,33.7,6.8
2,100,18,15.7,0.3752,359,112,5230,33.6,7.0
2,200,13,19.0,0.3987,611,327,5125,15.8,0.4
5,50,16,11.1,0.3312,435,62,5232,18.8,0.4
5,100,14,13.0,0.2829,651,125,5239,16.4,0.4
5,200,4,1.4,0.1462,4839,326,6403,16.8,0.6
10,50,19,13.6,0.582,324,63,5218,17.6,0.4
10,100,14,12.8,0.3813,641,123,5221,18.1,0.5
10,200,3,0.0,0.3112,4443,324,11865,17.9,0.6
15,50,9,1.1,0.4668,714,62,5233,18.7,0.9
15,100,9,3.7,0.1575,711,122,5692,18.8,0.5
15,200,4,1.3,0.154,4839,323,6416,18.6,1.3
20,50,9,1.2,0.3343,710,61,5220,19.1,0.6
20,100,14,13.0,0.3381,650,117,5222,19.3,0.8
20,200,4,1.3,0.1676,4836,323,6421,19.4,0.8
30,50,15,12.0,0.3905,478,62,5233,22.3,0.7
30,100,5,0.0,0.3645,3147,324,6617,21.4,0.7
30,200,4,1.3,0.207,4839,324,6416,21.3,0.7
