umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,29,13.2,0.3511,403,54,3210,41.4,10.6,0.8183,0.6757,0.6855
2,100,13,4.5,0.2617,949,143,3199,41.4,10.7,0.8551,0.6653,0.6225
2,200,12,8.1,0.307,906,400,3104,41.8,10.5,0.8252,0.6724,0.6255
5,50,21,13.2,0.2886,433,58,2205,44.9,8.4,0.8171,0.7034,0.6889
5,100,15,11.1,0.4982,820,127,2725,24.1,0.7,0.7935,0.6908,0.6666
5,200,12,9.3,0.2745,954,400,3012,23.7,0.9,0.8151,0.6795,0.6336
10,50,18,8.5,0.3765,719,58,2810,25.5,0.6,0.8171,0.699,0.6902
10,100,15,11.7,0.5398,894,149,2793,24.9,0.7,0.7907,0.7083,0.6917
10,200,14,13.9,0.4821,911,204,2879,24.4,0.9,0.7685,0.7091,0.6874
15,50,18,10.6,0.6573,713,58,2702,24.8,0.7,0.8002,0.7094,0.7002
15,100,15,11.6,0.5169,878,148,2766,25.3,0.9,0.7925,0.7087,0.6913
15,200,12,9.8,0.3242,926,400,3057,25.5,1.0,0.8101,0.6777,0.6313
20,50,18,9.5,0.523,710,58,2768,32.0,0.8,0.8101,0.7053,0.6962
20,100,15,10.4,0.3923,945,149,2961,31.1,0.8,0.8006,0.7044,0.6868
20,200,12,8.7,0.4363,939,397,3132,31.2,0.9,0.8182,0.6761,0.6297
30,50,18,9.9,0.5455,707,58,2714,38.8,1.0,0.8084,0.708,0.7
30,100,15,12.6,0.4877,870,152,2794,25.5,0.7,0.7809,0.7137,0.6966
30,200,14,13.5,0.4054,957,208,2786,26.1,0.7,0.7742,0.7142,0.6935
