Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	0.000000	0.500000	0	0	noise	cluster_noise	0.0000
2	Spectrogram 1	1	0.250000	0.750000	0	0	noise	cluster_noise	0.0000
3	Spectrogram 1	1	0.500000	1.000000	0	0	noise	cluster_noise	0.0000
4	Spectrogram 1	1	0.750000	1.250000	0	0	5	cluster_5	0.8120
5	Spectrogram 1	1	1.000000	1.500000	0	0	5	cluster_5	0.7437
6	Spectrogram 1	1	1.250000	1.750000	0	0	5	cluster_5	0.8307
7	Spectrogram 1	1	1.500000	2.000000	0	0	5	cluster_5	0.8881
8	Spectrogram 1	1	1.750000	2.250000	0	0	5	cluster_5	0.8244
9	Spectrogram 1	1	2.000000	2.500000	0	0	5	cluster_5	0.7883
10	Spectrogram 1	1	2.250000	2.750000	0	0	noise	cluster_noise	0.0000
11	Spectrogram 1	1	2.500000	3.000000	0	0	noise	cluster_noise	0.0000
12	Spectrogram 1	1	2.750000	3.250000	0	0	5	cluster_5	0.9946
13	Spectrogram 1	1	3.000000	3.500000	0	0	5	cluster_5	0.9351
14	Spectrogram 1	1	3.250000	3.750000	0	0	5	cluster_5	1.0000
15	Spectrogram 1	1	3.500000	4.000000	0	0	5	cluster_5	0.7865
16	Spectrogram 1	1	3.750000	4.250000	0	0	5	cluster_5	0.7983
17	Spectrogram 1	1	4.000000	4.500000	0	0	5	cluster_5	0.8808
18	Spectrogram 1	1	4.250000	4.750000	0	0	5	cluster_5	1.0000
19	Spectrogram 1	1	4.500000	5.000000	0	0	5	cluster_5	1.0000
20	Spectrogram 1	1	4.750000	5.250000	0	0	5	cluster_5	1.0000
21	Spectrogram 1	1	5.000000	5.500000	0	0	5	cluster_5	1.0000
22	Spectrogram 1	1	5.250000	5.750000	0	0	5	cluster_5	1.0000
23	Spectrogram 1	1	5.500000	6.000000	0	0	5	cluster_5	1.0000
24	Spectrogram 1	1	5.750000	6.250000	0	0	5	cluster_5	0.9147
25	Spectrogram 1	1	6.000000	6.500000	0	0	5	cluster_5	0.9378
26	Spectrogram 1	1	6.250000	6.750000	0	0	5	cluster_5	0.9802
27	Spectrogram 1	1	6.500000	7.000000	0	0	5	cluster_5	0.8863
28	Spectrogram 1	1	6.750000	7.250000	0	0	5	cluster_5	1.0000
29	Spectrogram 1	1	7.000000	7.500000	0	0	5	cluster_5	1.0000
30	Spectrogram 1	1	7.250000	7.750000	0	0	5	cluster_5	0.9489
31	Spectrogram 1	1	7.500000	8.000000	0	0	5	cluster_5	1.0000
32	Spectrogram 1	1	7.750000	8.250000	0	0	noise	cluster_noise	0.0000
33	Spectrogram 1	1	8.000000	8.500000	0	0	noise	cluster_noise	0.0000
34	Spectrogram 1	1	8.250000	8.750000	0	0	5	cluster_5	1.0000
35	Spectrogram 1	1	8.500000	9.000000	0	0	5	cluster_5	1.0000
36	Spectrogram 1	1	8.750000	9.250000	0	0	5	cluster_5	1.0000
37	Spectrogram 1	1	9.000000	9.500000	0	0	5	cluster_5	0.9723
38	Spectrogram 1	1	9.250000	9.750000	0	0	5	cluster_5	0.9170
39	Spectrogram 1	1	9.500000	10.000000	0	0	5	cluster_5	0.8194
40	Spectrogram 1	1	9.750000	10.250000	0	0	5	cluster_5	0.6826
41	Spectrogram 1	1	10.000000	10.500000	0	0	5	cluster_5	0.6598
42	Spectrogram 1	1	10.250000	10.750000	0	0	5	cluster_5	0.7418
43	Spectrogram 1	1	10.500000	11.000000	0	0	5	cluster_5	0.8884
44	Spectrogram 1	1	10.750000	11.250000	0	0	5	cluster_5	1.0000
45	Spectrogram 1	1	11.000000	11.500000	0	0	5	cluster_5	0.8077
46	Spectrogram 1	1	11.250000	11.750000	0	0	5	cluster_5	1.0000
47	Spectrogram 1	1	11.500000	12.000000	0	0	5	cluster_5	0.8142
48	Spectrogram 1	1	11.750000	12.250000	0	0	5	cluster_5	0.8009
49	Spectrogram 1	1	12.000000	12.500000	0	0	5	cluster_5	0.9799
50	Spectrogram 1	1	12.250000	12.750000	0	0	5	cluster_5	0.9292
51	Spectrogram 1	1	12.500000	13.000000	0	0	5	cluster_5	1.0000
52	Spectrogram 1	1	12.750000	13.250000	0	0	5	cluster_5	1.0000
53	Spectrogram 1	1	13.000000	13.500000	0	0	5	cluster_5	0.9619
54	Spectrogram 1	1	13.250000	13.750000	0	0	5	cluster_5	1.0000
55	Spectrogram 1	1	13.500000	14.000000	0	0	5	cluster_5	0.6636
56	Spectrogram 1	1	13.750000	14.250000	0	0	noise	cluster_noise	0.0000
57	Spectrogram 1	1	14.000000	14.500000	0	0	5	cluster_5	0.7690
58	Spectrogram 1	1	14.250000	14.750000	0	0	5	cluster_5	0.8004
59	Spectrogram 1	1	14.500000	15.000000	0	0	5	cluster_5	0.7910
60	Spectrogram 1	1	14.750000	15.250000	0	0	5	cluster_5	0.7895
61	Spectrogram 1	1	15.000000	15.500000	0	0	5	cluster_5	0.6981
62	Spectrogram 1	1	15.250000	15.750000	0	0	5	cluster_5	0.8575
63	Spectrogram 1	1	15.500000	16.000000	0	0	5	cluster_5	0.7755
64	Spectrogram 1	1	15.750000	16.250000	0	0	5	cluster_5	0.8021
65	Spectrogram 1	1	16.000000	16.500000	0	0	5	cluster_5	0.8073
66	Spectrogram 1	1	16.250000	16.750000	0	0	5	cluster_5	0.9480
67	Spectrogram 1	1	16.500000	17.000000	0	0	5	cluster_5	1.0000
68	Spectrogram 1	1	16.750000	17.250000	0	0	5	cluster_5	0.9773
69	Spectrogram 1	1	17.000000	17.500000	0	0	5	cluster_5	0.9524
70	Spectrogram 1	1	17.250000	17.750000	0	0	5	cluster_5	0.9848
71	Spectrogram 1	1	17.500000	18.000000	0	0	5	cluster_5	0.7922
72	Spectrogram 1	1	17.750000	18.250000	0	0	5	cluster_5	0.6915
73	Spectrogram 1	1	18.000000	18.500000	0	0	5	cluster_5	0.9209
74	Spectrogram 1	1	18.250000	18.750000	0	0	5	cluster_5	1.0000
75	Spectrogram 1	1	18.500000	19.000000	0	0	5	cluster_5	0.9767
76	Spectrogram 1	1	18.750000	19.250000	0	0	5	cluster_5	0.8462
77	Spectrogram 1	1	19.000000	19.500000	0	0	5	cluster_5	0.8265
