umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,4,0.1,0.6096,161,59,66095,37.2,1.5
2,100,25,20.5,0.4678,822,117,14604,37.2,1.5
2,200,16,20.0,0.4082,2266,217,14172,32.1,0.8
5,50,26,19.1,0.2211,249,51,14316,33.4,0.9
5,100,10,5.6,0.1206,2104,148,28345,31.8,1.0
5,200,15,25.4,0.5378,2478,219,14953,32.4,1.3
10,50,2,0.0,0.5296,33264,163,66365,35.1,1.0
10,100,2,0.0,0.4778,33264,163,66365,35.1,1.2
10,200,8,8.6,0.0439,1959,216,36734,35.2,1.4
15,50,2,0.0,0.4796,33264,163,66365,36.7,1.2
15,100,2,0.0,0.398,33264,163,66365,36.6,1.4
15,200,12,12.7,0.6255,2139,202,17340,36.6,1.7
20,50,2,0.0,0.4993,33264,163,66365,37.5,1.3
20,100,3,0.0,0.0101,10263,163,56073,37.2,1.5
20,200,14,29.9,0.4516,1630,219,13022,37.4,1.8
30,50,2,0.0,0.4184,33264,165,66363,41.8,1.7
30,100,2,0.0,0.3756,33264,165,66363,41.9,1.9
30,200,15,27.8,0.5443,1294,218,13674,41.8,2.1
