Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	0.000000	20.250000	0	0	5	cluster_5	0.7979
2	Spectrogram 1	1	20.000000	20.750000	0	0	2	cluster_2	0.8297
3	Spectrogram 1	1	20.500000	27.500000	0	0	5	cluster_5	0.8095
4	Spectrogram 1	1	27.250000	27.750000	0	0	6	cluster_6	1.0000
5	Spectrogram 1	1	27.500000	73.000000	0	0	5	cluster_5	0.7987
6	Spectrogram 1	1	72.750000	73.250000	0	0	6	cluster_6	0.8724
7	Spectrogram 1	1	73.000000	73.500000	0	0	noise	cluster_noise	0.0000
8	Spectrogram 1	1	73.250000	85.500000	0	0	5	cluster_5	0.8296
9	Spectrogram 1	1	85.250000	85.750000	0	0	6	cluster_6	1.0000
10	Spectrogram 1	1	85.500000	86.500000	0	0	noise	cluster_noise	0.0000
11	Spectrogram 1	1	86.250000	86.750000	0	0	5	cluster_5	0.4814
12	Spectrogram 1	1	86.500000	87.000000	0	0	6	cluster_6	1.0000
13	Spectrogram 1	1	86.750000	113.500000	0	0	5	cluster_5	0.8199
14	Spectrogram 1	1	113.250000	114.000000	0	0	noise	cluster_noise	0.0000
15	Spectrogram 1	1	113.750000	133.750000	0	0	5	cluster_5	0.8388
16	Spectrogram 1	1	133.500000	134.000000	0	0	noise	cluster_noise	0.0000
17	Spectrogram 1	1	133.750000	136.250000	0	0	5	cluster_5	0.6915
18	Spectrogram 1	1	136.000000	136.500000	0	0	6	cluster_6	0.8662
19	Spectrogram 1	1	136.250000	137.500000	0	0	5	cluster_5	0.6904
20	Spectrogram 1	1	137.250000	137.750000	0	0	noise	cluster_noise	0.0000
21	Spectrogram 1	1	137.500000	142.000000	0	0	5	cluster_5	0.7316
22	Spectrogram 1	1	141.750000	142.250000	0	0	noise	cluster_noise	0.0000
23	Spectrogram 1	1	142.000000	144.250000	0	0	5	cluster_5	0.8066
24	Spectrogram 1	1	144.000000	144.750000	0	0	6	cluster_6	1.0000
25	Spectrogram 1	1	144.500000	145.000000	0	0	noise	cluster_noise	0.0000
26	Spectrogram 1	1	144.750000	145.250000	0	0	6	cluster_6	1.0000
27	Spectrogram 1	1	145.000000	145.750000	0	0	5	cluster_5	0.8390
28	Spectrogram 1	1	145.500000	146.250000	0	0	2	cluster_2	1.0000
29	Spectrogram 1	1	146.000000	180.000000	0	0	5	cluster_5	0.8279
30	Spectrogram 1	1	179.750000	180.250000	0	0	6	cluster_6	0.9589
31	Spectrogram 1	1	180.000000	180.500000	0	0	noise	cluster_noise	0.0000
32	Spectrogram 1	1	180.250000	187.750000	0	0	5	cluster_5	0.8176
33	Spectrogram 1	1	187.500000	188.000000	0	0	noise	cluster_noise	0.0000
34	Spectrogram 1	1	187.750000	195.000000	0	0	5	cluster_5	0.8235
35	Spectrogram 1	1	194.750000	195.250000	0	0	6	cluster_6	1.0000
36	Spectrogram 1	1	195.000000	197.750000	0	0	5	cluster_5	0.7410
37	Spectrogram 1	1	197.500000	198.000000	0	0	noise	cluster_noise	0.0000
38	Spectrogram 1	1	197.750000	201.250000	0	0	5	cluster_5	0.6737
39	Spectrogram 1	1	201.000000	201.500000	0	0	6	cluster_6	1.0000
40	Spectrogram 1	1	201.250000	217.750000	0	0	5	cluster_5	0.7691
41	Spectrogram 1	1	217.500000	218.000000	0	0	6	cluster_6	1.0000
42	Spectrogram 1	1	217.750000	236.000000	0	0	5	cluster_5	0.8262
43	Spectrogram 1	1	235.750000	236.250000	0	0	2	cluster_2	1.0000
44	Spectrogram 1	1	236.000000	249.750000	0	0	5	cluster_5	0.8358
45	Spectrogram 1	1	249.500000	250.000000	0	0	6	cluster_6	1.0000
46	Spectrogram 1	1	249.750000	263.500000	0	0	5	cluster_5	0.8287
47	Spectrogram 1	1	263.250000	264.000000	0	0	noise	cluster_noise	0.0000
48	Spectrogram 1	1	263.750000	265.000000	0	0	8	cluster_8	0.8961
49	Spectrogram 1	1	264.750000	265.500000	0	0	noise	cluster_noise	0.0000
50	Spectrogram 1	1	265.250000	265.750000	0	0	9	cluster_9	1.0000
51	Spectrogram 1	1	265.500000	266.000000	0	0	noise	cluster_noise	0.0000
52	Spectrogram 1	1	265.750000	266.250000	0	0	5	cluster_5	0.6926
53	Spectrogram 1	1	266.000000	266.500000	0	0	2	cluster_2	0.9479
54	Spectrogram 1	1	266.250000	266.750000	0	0	noise	cluster_noise	0.0000
55	Spectrogram 1	1	266.500000	267.250000	0	0	2	cluster_2	1.0000
56	Spectrogram 1	1	267.000000	269.250000	0	0	5	cluster_5	0.7340
57	Spectrogram 1	1	269.000000	269.500000	0	0	noise	cluster_noise	0.0000
58	Spectrogram 1	1	269.250000	271.250000	0	0	2	cluster_2	0.9793
59	Spectrogram 1	1	271.000000	271.750000	0	0	5	cluster_5	0.6860
60	Spectrogram 1	1	271.500000	272.250000	0	0	noise	cluster_noise	0.0000
61	Spectrogram 1	1	272.000000	274.250000	0	0	2	cluster_2	0.9581
62	Spectrogram 1	1	274.000000	275.500000	0	0	5	cluster_5	0.7843
63	Spectrogram 1	1	275.250000	276.000000	0	0	noise	cluster_noise	0.0000
64	Spectrogram 1	1	275.750000	276.750000	0	0	7	cluster_7	0.6567
65	Spectrogram 1	1	276.500000	277.500000	0	0	noise	cluster_noise	0.0000
