umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,43,25.4,0.2038,237,66,7735,24.3,1.2
2,100,24,17.4,0.1394,297,103,7494,24.3,1.2
2,200,12,13.0,0.4411,1765,219,11605,18.3,0.5
5,50,23,16.4,0.3628,168,58,14246,19.0,0.5
5,100,12,18.3,0.2273,1597,106,6734,18.7,0.6
5,200,5,5.8,0.0,3655,776,21327,18.5,0.7
10,50,17,12.8,0.1531,265,63,14345,20.4,0.5
10,100,2,0.1,0.0264,20221,1481,38961,20.4,0.7
10,200,7,13.7,0.4386,4585,211,12604,20.0,0.8
15,50,27,27.0,0.3829,251,63,11661,20.9,0.7
15,100,7,7.3,0.0283,1302,104,21698,20.9,0.7
15,200,8,15.0,0.3391,2434,218,12620,20.8,0.9
20,50,25,18.5,0.0762,222,50,12577,21.0,0.7
20,100,14,17.4,0.0641,570,106,11572,21.0,0.8
20,200,9,20.0,0.3414,2017,233,11253,21.3,0.9
30,50,25,21.1,0.0708,243,66,13092,24.0,0.9
30,100,5,4.8,0.1094,5298,107,21540,24.4,1.0
30,200,7,15.0,0.2443,3257,274,13363,24.1,1.2
