Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	263.000000	263.500000	0	0	26	cluster_26	0.8942
2	Spectrogram 1	1	263.250000	263.750000	0	0	9	cluster_9	0.8004
3	Spectrogram 1	1	263.500000	266.000000	0	0	5	cluster_5	1.0000
4	Spectrogram 1	1	265.750000	266.250000	0	0	noise	cluster_noise	0.0000
5	Spectrogram 1	1	266.000000	266.500000	0	0	3	cluster_3	1.0000
6	Spectrogram 1	1	266.250000	266.750000	0	0	9	cluster_9	0.7586
7	Spectrogram 1	1	266.500000	267.000000	0	0	noise	cluster_noise	0.0000
8	Spectrogram 1	1	266.750000	267.250000	0	0	3	cluster_3	1.0000
9	Spectrogram 1	1	267.000000	268.000000	0	0	noise	cluster_noise	0.0000
10	Spectrogram 1	1	267.750000	269.000000	0	0	26	cluster_26	0.8714
11	Spectrogram 1	1	268.750000	269.250000	0	0	noise	cluster_noise	0.0000
12	Spectrogram 1	1	269.000000	269.500000	0	0	5	cluster_5	1.0000
13	Spectrogram 1	1	269.250000	271.250000	0	0	2	cluster_2	0.9705
14	Spectrogram 1	1	271.000000	271.500000	0	0	26	cluster_26	1.0000
15	Spectrogram 1	1	271.250000	272.000000	0	0	noise	cluster_noise	0.0000
16	Spectrogram 1	1	271.750000	272.250000	0	0	5	cluster_5	0.7853
17	Spectrogram 1	1	272.000000	274.000000	0	0	2	cluster_2	0.9807
18	Spectrogram 1	1	273.750000	274.250000	0	0	noise	cluster_noise	0.0000
19	Spectrogram 1	1	274.000000	274.750000	0	0	26	cluster_26	0.9377
20	Spectrogram 1	1	274.500000	275.500000	0	0	noise	cluster_noise	0.0000
21	Spectrogram 1	1	275.250000	278.000000	0	0	5	cluster_5	0.9750
22	Spectrogram 1	1	277.750000	278.250000	0	0	noise	cluster_noise	0.0000
23	Spectrogram 1	1	278.000000	278.750000	0	0	5	cluster_5	1.0000
