umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,2,0.0,0.4399,18063,51,36076,21.8,1.2
2,100,19,18.5,0.1771,528,117,6843,21.7,1.2
2,200,3,0.5,0.6266,5159,430,30355,15.9,0.4
5,50,2,0.0,0.505,18063,51,36076,16.6,0.5
5,100,16,18.6,0.0696,774,113,9265,16.3,0.5
5,200,5,9.7,0.5598,3299,618,23300,16.2,0.6
10,50,20,17.8,0.506,240,51,15942,17.3,0.5
10,100,11,9.3,0.2036,781,121,16285,17.3,0.6
10,200,6,11.9,0.4371,3790,625,16442,17.3,0.7
15,50,27,29.9,0.4077,227,57,5382,18.0,0.6
15,100,18,30.0,0.3787,763,112,6299,18.5,0.7
15,200,13,34.4,0.3557,1119,431,6104,18.4,0.8
20,50,2,0.0,0.6257,18063,51,36076,19.1,0.6
20,100,2,0.1,0.579,18038,1274,34802,18.8,0.7
20,200,13,34.8,0.258,1188,403,5008,18.4,0.8
30,50,3,0.0,0.3995,1280,51,34796,21.0,0.9
30,100,18,28.4,0.4589,876,112,5757,21.1,0.8
30,200,2,0.1,0.1813,18038,1279,34797,21.0,1.0
