Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	263.000000	263.750000	0	0	noise	cluster_noise	0.0000
2	Spectrogram 1	1	263.500000	266.000000	0	0	6	cluster_6	0.9677
3	Spectrogram 1	1	265.750000	266.250000	0	0	9	cluster_9	0.9333
4	Spectrogram 1	1	266.000000	266.500000	0	0	noise	cluster_noise	0.0000
5	Spectrogram 1	1	266.250000	267.250000	0	0	8	cluster_8	0.9268
6	Spectrogram 1	1	267.000000	268.000000	0	0	noise	cluster_noise	0.0000
7	Spectrogram 1	1	267.750000	268.500000	0	0	13	cluster_13	0.8285
8	Spectrogram 1	1	269.000000	269.500000	0	0	6	cluster_6	1.0000
9	Spectrogram 1	1	269.250000	271.250000	0	0	0	cluster_0	0.9212
10	Spectrogram 1	1	271.000000	271.500000	0	0	13	cluster_13	0.7541
11	Spectrogram 1	1	271.250000	272.000000	0	0	noise	cluster_noise	0.0000
12	Spectrogram 1	1	271.750000	272.250000	0	0	6	cluster_6	0.8815
13	Spectrogram 1	1	272.000000	274.000000	0	0	0	cluster_0	0.9676
14	Spectrogram 1	1	273.750000	274.250000	0	0	noise	cluster_noise	0.0000
15	Spectrogram 1	1	274.000000	275.000000	0	0	13	cluster_13	0.8377
16	Spectrogram 1	1	274.750000	275.750000	0	0	noise	cluster_noise	0.0000
17	Spectrogram 1	1	275.500000	278.750000	0	0	6	cluster_6	0.9385
18	Spectrogram 1	1	278.500000	279.000000	0	0	noise	cluster_noise	0.0000
19	Spectrogram 1	1	278.750000	279.500000	0	0	8	cluster_8	1.0000
20	Spectrogram 1	1	281.000000	281.750000	0	0	13	cluster_13	0.7954
21	Spectrogram 1	1	281.500000	282.250000	0	0	6	cluster_6	0.9158
22	Spectrogram 1	1	282.000000	284.000000	0	0	0	cluster_0	0.8849
23	Spectrogram 1	1	283.750000	284.500000	0	0	noise	cluster_noise	0.0000
24	Spectrogram 1	1	284.250000	284.750000	0	0	6	cluster_6	1.0000
25	Spectrogram 1	1	284.500000	287.000000	0	0	0	cluster_0	0.8292
26	Spectrogram 1	1	286.750000	287.250000	0	0	13	cluster_13	0.8137
27	Spectrogram 1	1	287.000000	287.500000	0	0	8	cluster_8	0.7776
28	Spectrogram 1	1	287.250000	287.750000	0	0	noise	cluster_noise	0.0000
29	Spectrogram 1	1	287.500000	288.000000	0	0	9	cluster_9	0.9514
30	Spectrogram 1	1	287.750000	291.000000	0	0	6	cluster_6	0.8647
31	Spectrogram 1	1	290.750000	291.500000	0	0	noise	cluster_noise	0.0000
32	Spectrogram 1	1	291.250000	291.750000	0	0	8	cluster_8	0.9367
33	Spectrogram 1	1	291.500000	292.000000	0	0	noise	cluster_noise	0.0000
34	Spectrogram 1	1	291.750000	293.250000	0	0	8	cluster_8	1.0000
35	Spectrogram 1	1	293.000000	293.500000	0	0	noise	cluster_noise	0.0000
36	Spectrogram 1	1	295.000000	296.500000	0	0	0	cluster_0	0.9924
37	Spectrogram 1	1	296.250000	296.750000	0	0	noise	cluster_noise	0.0000
38	Spectrogram 1	1	296.500000	297.000000	0	0	13	cluster_13	0.6863
39	Spectrogram 1	1	296.750000	297.500000	0	0	noise	cluster_noise	0.0000
40	Spectrogram 1	1	297.250000	297.750000	0	0	6	cluster_6	1.0000
41	Spectrogram 1	1	297.500000	299.500000	0	0	0	cluster_0	0.9384
42	Spectrogram 1	1	299.250000	299.750000	0	0	13	cluster_13	0.7664
43	Spectrogram 1	1	299.500000	300.750000	0	0	noise	cluster_noise	0.0000
44	Spectrogram 1	1	300.500000	301.000000	0	0	6	cluster_6	0.8073
45	Spectrogram 1	1	300.750000	301.250000	0	0	noise	cluster_noise	0.0000
46	Spectrogram 1	1	301.000000	303.000000	0	0	6	cluster_6	0.8999
47	Spectrogram 1	1	302.750000	303.500000	0	0	noise	cluster_noise	0.0000
48	Spectrogram 1	1	303.250000	305.500000	0	0	8	cluster_8	0.9577
49	Spectrogram 1	1	307.000000	307.500000	0	0	6	cluster_6	1.0000
50	Spectrogram 1	1	307.250000	309.000000	0	0	0	cluster_0	0.8970
51	Spectrogram 1	1	308.750000	309.250000	0	0	noise	cluster_noise	0.0000
52	Spectrogram 1	1	309.000000	309.500000	0	0	13	cluster_13	0.7913
53	Spectrogram 1	1	309.250000	310.000000	0	0	noise	cluster_noise	0.0000
