umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,2,0.0,0.6925,18063,51,36076,21.0,1.2
2,100,2,0.3,0.0034,18015,1200,34831,21.0,1.2
2,200,2,0.1,0.3592,18038,1200,34876,15.4,0.4
5,50,28,30.6,0.1029,360,52,5281,15.8,0.4
5,100,19,29.4,0.2719,692,107,5731,18.3,0.5
5,200,13,39.0,0.0517,977,440,5491,18.2,0.7
10,50,17,14.4,0.226,225,61,15655,18.4,0.5
10,100,15,18.9,0.6074,722,108,16160,18.5,0.6
10,200,6,14.4,0.094,1777,623,22153,18.3,0.7
15,50,2,0.1,0.3311,18038,1278,34799,19.2,0.6
15,100,2,0.2,0.0242,18036,1278,34794,19.1,0.7
15,200,2,0.5,0.0048,17974,1265,34684,18.9,0.8
20,50,27,30.3,0.2473,387,59,5219,19.3,0.6
20,100,20,34.3,0.3985,760,111,5859,19.1,0.7
20,200,6,11.4,0.5613,3864,750,16154,19.4,0.9
30,50,25,28.7,0.3174,248,55,5271,22.1,0.8
30,100,17,23.2,0.1704,894,110,6380,21.9,0.9
30,200,8,23.3,0.5227,1402,624,14943,21.8,1.0
