Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
1	Spectrogram 1	1	263.531835043	265.775620021	0.000	8000.000	C
2	Spectrogram 1	1	266.210094456	267.170405962	0.000	8000.000	Bu
3	Spectrogram 1	1	269.106710301	270.961980702	0.000	8000.000	A
4	Spectrogram 1	1	271.790057594	273.894706445	0.000	8000.000	A
5	Spectrogram 1	1	275.352432447	277.943250523	0.000	8000.000	C
6	Spectrogram 1	1	278.706616563	279.955760992	0.000	8000.000	Bm
7	Spectrogram 1	1	281.736948419	283.001138582	0.000	8000.000	A
8	Spectrogram 1	1	284.439018096	285.766173436	0.000	8000.000	A
9	Spectrogram 1	1	287.915854003	290.460407470	0.000	8000.000	C
10	Spectrogram 1	1	290.830524338	293.028093241	0.000	8000.000	Bu
11	Spectrogram 1	1	294.635414970	295.910311280	0.000	8000.000	A
12	Spectrogram 1	1	297.334221445	298.592560660	0.000	8000.000	A
13	Spectrogram 1	1	300.453562904	302.974984067	0.000	8000.000	C
14	Spectrogram 1	1	303.469603960	305.406784067	0.000	8000.000	Bu
15	Spectrogram 1	1	307.161931135	308.444031592	0.000	8000.000	A
16	Spectrogram 1	1	309.868407901	311.258738286	0.000	8000.000	A
17	Spectrogram 1	1	313.199459713	315.282109568	0.000	8000.000	C
18	Spectrogram 1	1	316.669305349	318.704948123	0.000	8000.000	Bu
19	Spectrogram 1	1	320.116018682	322.208566927	0.000	8000.000	A
20	Spectrogram 1	1	322.729969062	325.048121206	0.000	8000.000	A
21	Spectrogram 1	1	326.315476220	328.975691208	0.000	8000.000	C
22	Spectrogram 1	1	329.438337293	331.728435413	0.000	8000.000	Bu
23	Spectrogram 1	1	333.278296967	335.461990399	0.000	8000.000	D
24	Spectrogram 1	1	337.719699382	339.580187460	0.000	8000.000	C
25	Spectrogram 1	1	340.518708195	342.072072060	0.000	8000.000	Bu
26	Spectrogram 1	1	344.566861438	346.853039171	0.000	8000.000	D
27	Spectrogram 1	1	349.031396158	351.298361974	0.000	8000.000	C
28	Spectrogram 1	1	351.922934188	352.963887879	0.000	8000.000	Bu
29	Spectrogram 1	1	355.600967733	358.334545334	0.000	8000.000	D
30	Spectrogram 1	1	360.227428582	362.702585136	0.000	8000.000	C
31	Spectrogram 1	1	362.795114353	363.605243019	0.000	8000.000	E
32	Spectrogram 1	1	364.530037171	365.595540817	0.000	8000.000	E
33	Spectrogram 1	1	366.380621511	367.585838615	0.000	8000.000	E
34	Spectrogram 1	1	368.462528893	369.810289095	0.000	8000.000	E
35	Spectrogram 1	1	371.562257662	374.823912560	0.000	8000.000	F
36	Spectrogram 1	1	376.188715680	377.551296120	0.000	8000.000	C
37	Spectrogram 1	1	378.895195277	379.838915475	0.000	8000.000	E
38	Spectrogram 1	1	380.953970355	382.063365955	0.000	8000.000	E
39	Spectrogram 1	1	382.943348520	384.170740094	0.000	8000.000	E
40	Spectrogram 1	1	384.932726685	386.231283697	0.000	8000.000	E
41	Spectrogram 1	1	388.148116975	391.155316527	0.000	8000.000	F
42	Spectrogram 1	1	392.612651694	394.784205598	0.000	8000.000	C
43	Spectrogram 1	1	395.203466939	396.323264296	0.000	8000.000	E
44	Spectrogram 1	1	397.308506625	398.360392630	0.000	8000.000	E
45	Spectrogram 1	1	399.344149399	400.469743103	0.000	8000.000	E
46	Spectrogram 1	1	401.333527564	402.577117242	0.000	8000.000	E
47	Spectrogram 1	1	404.225065595	407.556117406	0.000	8000.000	F
48	Spectrogram 1	1	410.123803177	412.090049038	0.000	8000.000	G
49	Spectrogram 1	1	412.760885861	414.611470201	0.000	8000.000	H
50	Spectrogram 1	1	416.623980670	419.145401833	0.000	8000.000	F
